# KCA UNIVERSITY SCHOOL OF TECHNOLOGY TIMETABLE (JANUARY – APRIL 2026)

*Prepared by: Charles B. Malungu, Timetable Coordinator – School of Technology*  
*Approved by: Dr. Paul Abuonji (CoD SD & IS), Dr. Simon Mwendia (Dean, School of Technology)*  
*Date: December 21–22, 2025*

---

## 1. Bachelor of Science in Software Development (BSD) - Full-Time Mode

### 1.1 BSD Year 1 Trimester 1 (FT 1.1)

| Day       | Time          | Room Type | Venue        | Unit Code | Unit Name                                |
| Thursday  | 0700-1100 HRS | LAB       | TC 0-5/0-6   | CSN 3201  | NETWORK SYSTEMS DESIGN AND MANAGEMENT    |
| Thursday  | 1100-1500 HRS | LAB       | C-1          | STU 3102  | MOBILE APPLICATIONS DEVELOPMENT          |
| Friday    | 0800-1200 HRS | VIRTUAL   | ZOOM         | DSA 2204  | ARTIFICIAL INTELLIGENCE                  |
| Friday    | 1100-1500 HRS | LAB       | TC 0-7/0-8   | CPP 3204  | NETWORK PROGRAMMING                      |
| Wednesday | 0800-1200 HRS | VIRTUAL   | ZOOM         | ISS 4102  | GEOGRAPHICAL INFORMATION SYSTEMS         |

### 2.7 BIT Year 3 Trimester 1 (FT 3.1)

| Day       | Time          | Room Type | Venue        | Unit Code | Unit Name                                |
|-----------|---------------|-----------|--------------|-----------|------------------------------------------|
| Tuesday   | 0800-1100 HRS | PHYSICAL  | TC 3-4       | ISS 4202  | SIMULATION AND MODELLING                 |
| Tuesday   | 0800-1100 HRS | PHYSICAL  | TC 3-4       | ISS 4202  | SIMULATION AND MODELLING                 |
| Tuesday   | 0800-1100 HRS | PHYSICAL  | AMPHITHEATRE | ISS 4202  | SIMULATION AND MODELLING                 |
| Wednesday | 1100-1400 HRS | VIRTUAL   | ZOOM         | CSN 2202  | INFORMATION SYSTEMS SECURITY AND CRYPTOGRAPHY |
| Wednesday | 1400-1700 HRS | VIRTUAL   | ZOOM         | SEN 4107  | KNOWLEDGE MANAGEMENT                     |
| Wednesday | 1400-1700 HRS | VIRTUAL   | ZOOM         | SEN 4107  | KNOWLEDGE MANAGEMENT                     |
| Wednesday | 1400-1700 HRS | VIRTUAL   | ZOOM         | SEN 4107  | KNOWLEDGE MANAGEMENT                     |
| Thursday  | 0800-1100 HRS | VIRTUAL   | ZOOM         | CSN 4104  | BLOCKCHAIN TECHNOLOGIES AND APPLICATIONS |
| Friday    | 1100-1400 HRS | VIRTUAL   | ZOOM         | ISS 4101  | STRATEGIC INFORMATION SYSTEMS MANAGEMENT |
| Friday    | 1100-1400 HRS | VIRTUAL   | ZOOM         | ISS 4101  | STRATEGIC INFORMATION SYSTEMS MANAGEMENT |
| Friday    | 1100-1400 HRS | VIRTUAL   | ZOOM         | ISS 4101  | STRATEGIC INFORMATION SYSTEMS MANAGEMENT |

### 2.8 BIT Year 3 Trimester 2 (FT 3.2)

| Day       | Time          | Room Type | Venue        | Unit Code | Unit Name                                |
|-----------|---------------|-----------|--------------|-----------|------------------------------------------|
| Monday    | 1400-1700 HRS | VIRTUAL   | ZOOM         | CUU 2101  | ETHICS AND LEADERSHIP                    |
| Tuesday   | 0800-1100 HRS | VIRTUAL   | ZOOM         | DSA 3206  | DATA WAREHOUSING AND DATA MINING         |
| Tuesday   | 1400-1800 HRS | VIRTUAL   | ZOOM         | CPP 4101  | INTERNET APPLICATION PROGRAMMING         |
| Friday    | 1100-1400 HRS | VIRTUAL   | ZOOM         | DBS 4203  | DISTRIBUTED MULTIMEDIA SYSTEMS           |
| Friday    | 1400-1800 HRS | VIRTUAL   | ZOOM         | ISS 3102  | EXPERT SYSTEMS                           |

---

## 3. Postgraduate Programmes

### 3.1 MSc in Information Systems Management (MISM) Year 1 Trimester 1

| Day       | Time          | Room Type | Venue | Unit Code | Unit Name                     | Lecturer             |
|-----------|---------------|-----------|-------|-----------|-------------------------------|----------------------|
| Thursday  | 1730-2030 HRS | PG        | ZOOM  | CPP 6101  | OBJECT-ORIENTED TECHNOLOGIES  | Dr. Edwin Omol       |
| Friday    | 1730-2030 HRS | PG        | ZOOM  | DBS 6102  | ELECTRONIC BUSINESS SYSTEMS   | Dr. Rachael Kibuku   |
| Saturday  | 0800-1100 HRS | PG        | ZOOM  | DSA 6101  | PRINCIPLES OF DATA SCIENCE    | Dr. Simon Mwendia    |
| Saturday  | 1100-1400 HRS | PG        | ZOOM  | DBS 6101  | DATA STORAGE MANAGEMENT       | Dr. Abraham Matheka  |
| Saturday  | 1500-1800 HRS | PG        | ZOOM  | ISS 6101  | BUSINESS PROCESS MODELLING    | Dr. Edwin Omol       |

### 3.2 MSc in Information Systems Management (MISM) Year 1 Trimester 2

| Day       | Time          | Room Type | Venue | Unit Code | Unit Name                          | Lecturer          |
|-----------|---------------|-----------|-------|-----------|------------------------------------|-------------------|
